accountsservice 0.6.43-1
seahorse 3.20.0+44+ga1474bb-1
sed 4.4-1
shadow 4.4-3
splix 2.0.0-13
stumpwm-git 1.0.0.73.ge6dde22-1
sudo 1.8.19.p2-1
sysfsutils 2.1.0-9
system-config-printer 1.5.9-2
systemd-sysvcompat 232-8
tar 1.29-2
terminology 0.9.1-3
termite 12-1
texinfo 6.3-1
tmux 2.3-1
totem 3.22.1-1
transmission-cli 2.92-5
transmission-gtk 2.92-5
ttf-bitstream-vera 1.10-11
ttf-dejavu 2.37-1
ttf-freefont 20120503-4
ttf-google-fonts 20160408.r423-1
ttf-liberation 2.00.1-7
uget 2.0.9-1
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usb_modeswitch 2.4.0-2
usbutils 008-1
util-linux 2.29.2-1
vi 1:070224-2
vim 8.0.0329-1
vlc 2.2.4-7
vnstat 1.17-1
w3m 0.5.3.git20170102-1
wget 1.19.1-2
which 2.21-2
whois 5.2.14-1
wireless_tools 30.pre9-1
wmail-bin 2.3.1-1
wpa_actiond 1.4-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xf86-input-synaptics 1.9.0-1
xf86-video-fbdev 0.4.4-6
xf86-video-intel 1:2.99.917+760+ge9cd8c21-1
xf86-video-vesa 2.3.4-3
xfsprogs 4.9.0-1
xlockmore 5.50-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-fonts-encodings 1.0.4-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-7
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.2-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.4-2
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.6-1
xorg-xwininfo 1.1.3-1
xorg-xwud 1.0.4-2
xscreensaver 5.36-1
yaourt 1.8.1-1
youtube-dl 2017.03.02-1
zd1211-firmware 1.5-1
zsh 5.3.1-1
zsh-completions 0.23.0-2
